Rank,App Name,App Package Name,Subgenre,Downloads,Cumulative Downloads,Paid Downloads,Organic Downloads,Active Users,Install Base,Avg Session per User,Avg Session Duration,Avg time per User,Avg Active Days,gender,Tier
53,Minha Avon - Representante da ,br.com.avon.mobile_commerce,E-Commerce (Retailer),275328,3555923,86616,188712,212100,660880,29.46,00:01:32,00:45:25,5.84,mulheres,tres
54,Ganhe Dinheiro Clicando,ganhedinheirocliqueeganhe.blogspot.com,Coupons & Rewards,260864,1344094,0,260864,50402,118760,23.61,00:01:25,00:33:33,2.21,homens,tres
55,Arezzo,br.com.arezzo,E-Commerce (Retailer),256674,1653878,125676,130998,87922,199326,7.52,00:01:32,00:11:37,2.94,mulheres,tres
56,"Zoom: Compare preços, Cashback",com.zoom.zoomandroid,Coupons & Rewards,255990,36789225,150114,105876,3239836,7152920,8.21,00:00:57,00:07:52,3.23,homens,Quatro
57,CASA & VIDEO,com.root.casaevideov3.Activities,E-Commerce (Retailer),253954,1753393,88638,165316,99030,462374,5.49,00:02:10,00:11:56,2.24,homens,tres
58,Reserva,com.usereserva,E-Commerce (Retailer),245832,610165,137665,108167,27648,136482,4.66,00:02:06,00:09:50,1.73,homens,dois
59,Posthaus: 15% Extra só no App,br.com.supero.posthaus.site,E-Commerce (Retailer),243941,5457273,133928,110013,266842,1088104,10.49,00:03:07,00:32:50,3.49,mulheres,Quatro
60,Dotz: conta digital,br.com.dotz.dotzpay,Coupons & Rewards,239543,2719760,144685,94858,110923,1671876,11.58,00:01:08,00:13:13,2.76,mulheres,tres
62,"Buscapé: Menor preço, Cashback",br.com.buscape.MainPack,Other Shopping,236778,29785566,126698,110080,1604701,4886449,7.43,00:00:53,00:06:36,2.63,homens,Quatro
63,Elo7: Produtos Personalizados,br.com.elo7.appbuyer,E-Commerce (C2C),235469,5074994,136861,98608,361705,1215128,10.97,00:01:37,00:17:46,3.36,mulheres,Quatro
64,Petlove - O app do seu pet,br.com.petlove.petlove,E-Commerce (B2C),235278,4917801,125865,109413,424288,1813842,7.86,00:01:15,00:09:50,2.52,mulheres,Quatro
65,Loja do Mecânico,br.com.gurgelmix.lojadomecanico_app,E-Commerce (B2C),215965,1843318,58822,157143,185151,863342,10.39,00:01:39,00:17:12,3.65,homens,tres
66,abastece-aí: cashback e mais!,com.gigigo.ipirangaconectcar,Coupons & Rewards,212347,10095560,0,212347,2470404,6757878,10.02,00:01:03,00:10:35,3.41,homens,Quatro
67,Representante Eudora,br.com.eudora.apprepresentante,E-Commerce (Retailer),197017,1947082,0,197017,44218,325289,25.87,00:00:50,00:21:46,4.61,mulheres,tres
68,Flash App Benefícios,br.com.flashapp,Coupons & Rewards,196755,700364,111200,85555,493554,609989,10.64,00:00:47,00:08:20,5.2,homens,Quatro
69,Polishop: Presentes de Natal,br.com.projetopolishop.mobile,E-Commerce (B2C),190113,2258478,101535,88578,75784,544663,3.3,00:01:34,00:05:11,1.95,mulheres,tres
70,Fast Shop,br.com.fastshop.ecommerce.beta,E-Commerce (Retailer),181399,4061847,103898,77501,163864,1761142,3.78,00:01:52,00:07:04,2.54,homens,tres
71,TapTon (extensão do Ton),app.openmpos.stone.tapton,Resell,176426,261941,113102,63324,40702,117407,9.16,00:00:13,00:02:00,1.81,homens,tres
72,Promobit: Promoções e Cupons,br.com.promobit.app,Coupons & Rewards,174888,1938171,74402,100486,525769,1545887,36.71,00:00:56,00:34:48,8.08,homens,Quatro
73,Singu - Delivery de beleza e b,br.com.singu,E-Commerce (Retailer),174717,855322,53337,121380,25643,67978,2.18,00:00:52,00:01:53,1.11,mulheres,dois
74,Camicado,br.com.camicado.mobile,E-Commerce (Retailer),171405,905412,107319,64086,138852,329767,6.92,00:01:57,00:13:30,3.17,mulheres,tres
75,Zara,com.inditex.zara,E-Commerce (Retailer),163302,1640607,2709,160593,97602,229432,4.69,00:03:04,00:14:23,2.4,mulheres,tres
76,Privalia: Maior Outlet Online,com.privalia.br,E-Commerce (Retailer),163060,3986385,7150,155910,348290,1803794,18.51,00:02:49,00:52:09,5.1,mulheres,Quatro
77,Multi: Descontos nos Shoppings,br.com.multiplan.mind.multishopping,Coupons & Rewards,162729,1241744,56175,106554,121043,971716,4.96,00:01:35,00:07:56,1.88,mulheres,tres
78,Le biscuit: Comprar online,br.com.lebiscuit,E-Commerce (B2C),161533,1578443,96587,64946,35492,243270,6.82,00:02:12,00:15:02,2.64,mulheres,dois
