data-ai Intelligence
Report,Review - Summary
Report Generation Time,01/06/2023 08:36:36 PST
App,Shopee: Compre de Tudo Online
Date,"2022-07-10, 2022-07-16"
Granularity,Daily
Rating Value,"1, 2, 3, 4, 5"
Language,Portuguese

Reviews,Reviews Content,Rating,Start Date,End Date,Review Product Version,Review Product Version Name,Language,Language Name
00619911-d871-43f0-8f31-61e5ccad63eb,exelente app,5,2022-07-12,2022-07-12,20600012546168_2.89.12,2.89.12,pt,Portuguese
0064114b-3da2-4c32-aa8e-eee076127bf1,Fiz uma compra na Delux e o meu produto foi extraviado No dia 30 de abril pedi o reembolso e até agora não recebi E não me deram nenhuma informação estou muito triste e decepcionada,3,2022-07-16,2022-07-16,20600012546168_2.90.20,2.90.20,pt,Portuguese
006c1ac0-93b8-4786-ade4-2f2c8b9147f4,Ótimo em geral super indico e site confiável melhor não tem,5,2022-07-15,2022-07-15,20600012546168_2.89.41,2.89.41,pt,Portuguese
006ccf54-1732-4409-ba83-6a90a98883ff,"Estava tudo bem, uns 3 dias pra cá não consegui mais entrar no app. Até pensei que tinha que atualizar, mas não. Não sei o que houve, até agora não conshi entrar, e estou com pedidos parar chegar.",4,2022-07-16,2022-07-16,20600012546168_2.90.20,2.90.20,pt,Portuguese
006f1f76-95e7-4eca-af0c-c99d6d2d04d0,"App bom , mais fiz uma compra e já faz 4 meses que não me reembolsaram vou ter que acionar o Procon",2,2022-07-13,2022-07-13,20600012546168_2.90.13,2.90.13,pt,Portuguese
007a5394-67af-4efa-8646-2df445174880,Gosto muito de comprar pelo aplicativo.,5,2022-07-11,2022-07-11,20600012546168_2.89.41,2.89.41,pt,Portuguese
007b7f17-0d17-48b1-ab72-2497fd445b3f,"Muito bom o app. O melhor é o frete que na maioria é grátis por causa dos cupons. Quando não gosto do produto por ser ruim ou propaganda enganosa, o dinheiro é devolvido. O que poderia melhorar é que ele trava, e não é meu celular, é o app mesmo. É de confiança. Já fiz muitas compras que gostei muito, pois é mais barato que nas lojas, e continuarei fazendo. Tirando alguns probleminhas do site como, travar, fechar etc, está bem utilizável.",5,2022-07-15,2022-07-15,20600012546168_2.90.13,2.90.13,pt,Portuguese
008e6aad-1d9b-4735-870b-5d37219333c0,"O aplicativo era excelente, porém ultimamente não consigo finalizar a compra por erro absurdo: na hora do pagamento pede pra colocar meu nome completo, e simplesmente informa que tem erro, mesmo estando tudo certo, mesmo desinstalando e instalado novamente, o erro permanece. Decepcionada, pois os preços dos produtos e fretes são ótimos!",1,2022-07-13,2022-07-13,20600012546168_Varies with device,Varies with device,pt,Portuguese
008f3712-90d5-4e6a-8bfd-106c0ca9785e,Estou gostando muito!!!,5,2022-07-14,2022-07-14,20600012546168_2.90.13,2.90.13,pt,Portuguese
008f3aca-d05f-460b-bae9-6ff50e02afcd,"Precisa mudar as logísticas de entrega, quando não demoram muito para entregar, entregam em casa erradas , não se preocupando com a mercadoria do cliente, não pegam uma assinatura de quem recebeu ! Mudem isso .",3,2022-07-11,2022-07-11,20600012546168_Varies with device,Varies with device,pt,Portuguese
