data-ai Intelligence
Report,Top Advertisers
Report Generation Time,01/06/2023 07:49:09 PST
Ad Platform,All Supported
Country/Region,Brazil
Device,Android Phone
Date,"2021-08-01, 2021-08-31"
Granularity,Monthly

Advertiser App,Advertiser App Name,Advertiser App Bundle ID,Advertiser App Initial Release Date,Advertiser App Last Version Update,Advertiser App Package Name,Market,Market Name,Device,Device Name,Developer Account,Developer Account Name,Company,Company Name,Company HQ,Company HQ Name,Parent Company,Parent Company Name,App Category,App Category Name,Unified App,Unified App Name,Vertical,Vertical Name,# Ad Platforms,# Apps Seen In,Creatives
20600009983988,Facily: Compra Online e Oferta,,2018-06-08,2022-12-29,com.facily,google-play,Google Play Store,android-all,All Android Devices,20200002717183,Faci.ly,1000200000483159,Faci.Ly,BR,Brazil,1000200000483159,Faci.Ly,400053,Shopping,1000600000806282,Facily | Social Commerce,app,App,5,3,640
20600012236077,Polishop: Presentes de Natal,,2019-08-04,2022-09-15,br.com.projetopolishop.mobile,google-play,Google Play Store,android-all,All Android Devices,20200001525752,Polishop Web,,,,,,,400053,Shopping,20600012236077,Polishop: Ofertas de Verão,app,App,5,3,13
20600012513431,Dotz: conta digital,,2019-10-15,2022-11-22,br.com.dotz.dotzpay,google-play,Google Play Store,android-all,All Android Devices,20200000368552,Programa Dotz,1000200000334912,Dotz,BR,Brazil,1000200000334912,Dotz,400038,Finance,1000600000809030,Dotz: conta digital e cashback,app,App,5,4,54
20600014848782,Novo Mundo,,2021-04-05,2022-12-28,com.kobe.novoMundo,google-play,Google Play Store,android-all,All Android Devices,20200002632134,novomundolabs,,,,,,,400053,Shopping,20600014848782,Novo Mundo,app,App,5,8,7
20600000051069,Ponto: Compra Online e Ofertas,,2011-10-14,2023-01-03,com.sonyericsson.pontofrio,google-play,Google Play Store,android-all,All Android Devices,20200002483031,Via Varejo S.A.,1000200000401995,Via Varejo,BR,Brazil,1000200000401995,Via Varejo,400053,Shopping,1000600000513081,Pontofrio,app,App,4,2,5847
20600001879137,Posthaus: 15% Extra só no App,,2014-01-09,2022-12-12,br.com.supero.posthaus.site,google-play,Google Play Store,android-all,All Android Devices,20200003729974,DBR E-Commerce,,,,,,,400053,Shopping,1000600000731463,Posthaus,app,App,4,2,572
20600003323726,Netshoes: Loja de Esportes,,2014-08-06,2022-12-07,br.com.netshoes.app,google-play,Google Play Store,android-all,All Android Devices,20200001721405,Grupo Netshoes,1000200000039029,Netshoes,BR,Brazil,1000200000387041,Magazine Luiza,400053,Shopping,1000600000448060,Netshoes,app,App,4,2,6656
20600003407922,Gelt: Ganar dinero desde casa,,2014-09-22,2023-01-03,com.mdfactory.gelt,google-play,Google Play Store,android-all,All Android Devices,20200001815770,"Dinero Gelt, S.L.",1000200000100328,Dinero Gelt,ES,Spain,1000200000100328,Dinero Gelt,400053,Shopping,1000600000780022,GELT,app,App,4,10,37
20600003781794,Amazon Shopping,,2014-12-09,2023-01-04,com.amazon.mShop.android.shopping,google-play,Google Play Store,android-all,All Android Devices,20200000195533,Amazon Mobile LLC,1000200000000009,Amazon,US,United States,1000200000000009,Amazon,400053,Shopping,1000600000001163,Amazon,app,App,4,184,6711
20600003792812,Elo7: Produtos Personalizados,,2014-12-11,2022-12-20,br.com.elo7.appbuyer,google-play,Google Play Store,android-all,All Android Devices,20200001392864,Elo7,1000200000364803,Elo7,BR,Brazil,1000200000364803,Elo7,400053,Shopping,1000600000732493,Elo7 · Produtos Fora de Série,app,App,4,2,66
20600004210929,Mobly Decorações de M Maneiras,,2015-04-09,2022-12-10,com.mobly,google-play,Google Play Store,android-all,All Android Devices,20200003358232,Mobly Loja Online: Móveis e Artigos de Decoração,,,,,,,400041,House & Home,1000600000732119,Mobly,app,App,4,2,781
20600004378703,Marisa: Moda e Comprar Roupas,,2015-05-25,2022-12-22,br.com.marisa.android,google-play,Google Play Store,android-all,All Android Devices,20200001522208,Lojas Marisa,1000200000065015,Marisa,BR,Brazil,1000200000065015,Marisa,400053,Shopping,1000600000674728,Marisa Cartão,app,App,4,2,6319
20600004629076,Centauro: loja de esportes,,2015-07-31,2022-12-14,br.com.sbf.centauro,google-play,Google Play Store,android-all,All Android Devices,20200001668056,Centauro Esportes - Grupo SBF S/A,1000200000310426,Grupo SBF,BR,Brazil,1000200000310426,Grupo SBF,400053,Shopping,1000600000667242,Centauro,app,App,4,2,3304
20600004830440,Pão de Açúcar Mais,,2015-09-30,2022-12-20,br.com.paodeacucarmais,google-play,Google Play Store,android-all,All Android Devices,20200000158993,GPA,1000200000049164,GPA,BR,Brazil,1000200000049164,GPA,400053,Shopping,1000600000603523,Pão de Açúcar Mais,app,App,4,2,127
