App Package Name,Reviews,Reviews Content,Rating,Start Date,End Date,Review Product Version,Review Product Version Name,Language,Language Name
com.shopee.br,03b28b31-8629-4f2a-b025-dbd43f14fd23,Não recomendo comprei e não chegou.,1,15.07.22,15.07.22,20600012546168_Varies with device,Varies with device,pt,Portuguese
com.shopee.br,03b90bfe-52ec-4caa-b1b1-85bbae2a96dc,Muito bom !!!,5,14.07.22,14.07.22,20600012546168_2.90.13,2.90.13,pt,Portuguese
com.shopee.br,03b996b0-ee97-4843-9652-8788b571bbff,Otima,5,13.07.22,13.07.22,20600012546168_2.89.41,2.89.41,pt,Portuguese
com.shopee.br,03b9df23-b282-4fdf-b403-8a54ed8dfded,Sempre compro e estou gostando muito.,5,12.07.22,12.07.22,20600012546168_2.89.12,2.89.12,pt,Portuguese
com.shopee.br,03c39463-0f49-4e03-bded-891b2a9e07ad,"A shoppee e ótimo pra vender, mais esse aplicativo só dá razão aos vendedores e não aos clientes,ou seja se vc comprar uma calcinhas e a loja te enviar outro modelos,o aplicativo da razão a loja e vc perde seu dinheiro 😠",2,14.07.22,14.07.22,20600012546168_2.90.13,2.90.13,pt,Portuguese
com.shopee.br,03c424f2-74dc-48b1-958c-7c330b1fd91f,Adoro,5,12.07.22,12.07.22,20600012546168_2.89.41,2.89.41,pt,Portuguese
com.shopee.br,03c61fee-e557-4b78-a08b-9ac2104ed24f,"Ótimas opções, frete acessível, facilidade na devolução do dinheiro quando a compra não dá certo!!!",5,13.07.22,13.07.22,20600012546168_2.89.41,2.89.41,pt,Portuguese
com.shopee.br,03c9ef4c-8e6e-4971-939a-8a57132d31c7,"Há algum tempo não consigo fazer compras no site e não sei porque,antes comprava normal e de repente a compra não finaliza no momento do pagamento.",5,16.07.22,16.07.22,20600012546168_2.86.11,2.86.11,pt,Portuguese
com.shopee.br,03dc9859-e443-4a66-81d6-56595314226d,Muito bom,5,12.07.22,12.07.22,20600012546168_2.87.40,2.87.40,pt,Portuguese
com.shopee.br,03dfe5ff-04d8-4a50-b236-e7ff510be6cb,Ótimo,5,11.07.22,11.07.22,20600012546168_2.89.41,2.89.41,pt,Portuguese
com.shopee.br,03e2fd77-4b7e-4c8b-97b2-94c038c21e6d,Nota 10,5,12.07.22,12.07.22,20600012546168_2.89.41,2.89.41,pt,Portuguese
com.shopee.br,0401a658-ad30-4ef3-bcc3-472a0a236f79,"Esse app é muito bom. Fiz o pedido de um sapato e demorou horrores pra chegar, então pedi um reembolso e foi feito sem demora. Depois o sapato chegou e a Shoppe deixou eu ficar com ele. Amei ❤️",5,13.07.22,13.07.22,20600012546168_2.90.13,2.90.13,pt,Portuguese
com.shopee.br,040253e1-cb4c-4806-8426-580d8862ba90,Excelente,5,16.07.22,16.07.22,20600012546168_2.90.20,2.90.20,pt,Portuguese
com.shopee.br,040318a7-dc12-419b-815a-2aa0b7e975d7,Amo comprar na shopee Super indico,5,15.07.22,15.07.22,20600012546168_2.90.13,2.90.13,pt,Portuguese
com.shopee.br,0414a23d-247c-43b9-8a64-a5d411f453aa,Ótima,5,14.07.22,14.07.22,20600012546168_2.89.41,2.89.41,pt,Portuguese
com.shopee.br,042035a7-f6d3-4a77-be0a-ded337173e05,Tem mtos problema com entrega quando é por transportadora e tbm reembolso da mta dor de cabeça,3,11.07.22,11.07.22,20600012546168_2.89.41,2.89.41,pt,Portuguese
com.shopee.br,042b0094-acc9-4874-99f2-3964940827db,"Eu gosto muito desse app, o bom que a gente pode ver nas avaliações fotos e vídeos dos produtos. Não tenho tido problemas nas minhas compras, só um vendedor que demorou postar a mercadoria e daí a compra foi cancelada. No geral indico.",5,13.07.22,13.07.22,20600012546168_2.89.41,2.89.41,pt,Portuguese
com.shopee.br,042faf25-8350-4c69-9451-1cc40c3aff6c,Excelente app.,5,16.07.22,16.07.22,20600012546168_2.90.20,2.90.20,pt,Portuguese
com.shopee.br,04303dca-bd93-4721-ab74-5144a2f9c954,Encontro de tudo e muitas vezes por um valor bem abaixo de outras lojas.,5,14.07.22,14.07.22,20600012546168_2.89.41,2.89.41,pt,Portuguese
com.shopee.br,0431c391-4b4c-455d-9caf-cc1299c97a5a,Muito ótimo,5,10.07.22,10.07.22,20600012546168_2.89.30,2.89.30,pt,Portuguese
com.shopee.br,04368be4-d5be-41fc-b729-bfb0afdf434b,Maravilhosa,5,11.07.22,11.07.22,20600012546168_2.89.41,2.89.41,pt,Portuguese
com.shopee.br,0444303d-f25b-405c-bfd5-39d90d1289a3,Ótimas experiências em compras. A cada dia aumenta a segurança para realizar novas aquisições.,5,11.07.22,11.07.22,20600012546168_2.90.12,2.90.12,pt,Portuguese
com.shopee.br,044720c2-a585-42b9-977b-2b878695a9ed,Ótimo app,4,11.07.22,11.07.22,20600012546168_2.89.41,2.89.41,pt,Portuguese
com.shopee.br,04489488-fa14-47a7-82d1-3478b0a5fdcd,Otimo app,5,13.07.22,13.07.22,20600012546168_2.89.41,2.89.41,pt,Portuguese
com.shopee.br,044cc5dc-fdb5-4ee4-921d-46653f8fc631,Muito bom adorei comprar na shopee,5,15.07.22,15.07.22,20600012546168_Varies with device,Varies with device,pt,Portuguese
com.shopee.br,044e9953-b9ba-4555-b0a7-8a9321a7de05,App muito bom,4,14.07.22,14.07.22,20600012546168_2.89.41,2.89.41,pt,Portuguese
com.shopee.br,04515bf4-0c47-4ab6-82ce-b5f18a917bf8,"Infelizmente o app deixa muito a desejar. Estou a vários dias querendo gerar uma etiqueta de devolução no app e ele não gera. ODIANDO ESTA EXPERIÊNCIA! Fiz várias compras e gostei muito. Na primeira devolução este desacerto. Se não resolverem pra mim, infelizmente não comprarei, indicarei ou sequer iniciarei minhas novas vendas pelo site. Lamentável! Me ajuda aí Shopee. Aff...",2,14.07.22,14.07.22,20600012546168_2.85.31,2.85.31,pt,Portuguese
com.shopee.br,04566a91-1211-4322-ad6c-160e8ee12971,"Eu dei somente uma estrela pq ninguém resolve meu problema.. eu gostaria de fazer mais uma reclamação.. Eu fiz uma compra em dezembro de um tênis, mas o vendedor não despachou porque não conseguiu entregar no prazo e meu dinheiro até hoje não foi reembolsado, dinheiro no valor de 61,42. Já fiz diversas solicitações de reembolso, já me deram o prazo de 5 dias úteis, de 15 dias úteis e nada do meu dinheiro ser reembolsado, eu queria uma resposta pra isso e tbm mais 2 compras, como podem me ajudar?",1,16.07.22,16.07.22,20600012546168_2.90.13,2.90.13,pt,Portuguese
com.shopee.br,045e6bf0-49a3-48bf-a6a0-5bc22f4a5576,Sempre encontro tudo que busco e de qualidade.,5,13.07.22,13.07.22,20600012546168_2.89.41,2.89.41,pt,Portuguese
com.shopee.br,045eab6d-ef27-44ce-ab5a-2601087113c0,Gosto muito de comprar na shoee,5,10.07.22,10.07.22,20600012546168_2.89.41,2.89.41,pt,Portuguese
com.shopee.br,046fa44c-e5cf-405f-a289-dc8a1cdece62,A shopee cancelou duas compras ja pagas minhas e to esperando desde o dia 30/05 pelo reembolso. Desde ontem sendo maltratada pelos atendentes. A empresa te rouba e não dá a mínima Assistência quando questionada ou cobrada. Ela não lucra na conpra e venda e sim no roubo dos que nao levam os casos de roubo a diante. Mas eu sou paciente e espero o tempo que for pra reaver meu dinheiro.,1,13.07.22,13.07.22,20600012546168_2.84.07,2.84.07,pt,Portuguese
com.shopee.br,047067bf-95c9-4e64-ab88-f0d18f032794,Muito bom,5,12.07.22,12.07.22,20600012546168_2.89.41,2.89.41,pt,Portuguese
com.shopee.br,04719f48-0d22-4d02-9c94-a60b85222ec4,Muito bons e resolutivos,5,13.07.22,13.07.22,20600012546168_2.89.41,2.89.41,pt,Portuguese
