,App Package Name,Reviews Content,Rating,Ranking,review_processed
17123,com.shopee.br,"Amoooo,chega tudo correto ,a empresa é muito correta ,tive um problema com uma entrega ,mas a shopee foi rápida e solucionou.amo comprar na shopee.",5,Second,"amoooo,chega tudo correto ,a empresa correta ,tive problema entrega ,ma shope rápida solucionou.amo comprar shopee."
17124,com.shopee.br,Parabéns app excelente qualidade 👏👏👏 amo muito comprar na shopee,5,Second,parabén app excelent qualidad 👏👏👏 amo comprar shope
17125,com.shopee.br,"Demora muito pra chegar os pedidos, sem dizer que os descontos e quase nada , e o frete e muitos caro...mas tirando isso o app tem várias coisas bonitas, tipo roupa tanto pra criança quanto para adulto, tem acessórios e etc...",1,Second,"demora pra chegar pedidos, dizer desconto quas nada , frete muito caro...ma tirando app vária coisa bonitas, tipo roupa tanto pra criança quanto adulto, acessório etc..."
17126,com.shopee.br,horrível trava todo tempo lento de mais não consegui fazer nada coloca as compras no carrinho na hora que vai na opção de parcelamento não dá nada não consegui faz tanta propagandas e não arruma o aplicativo esse aplicativo não presta baixei é removi por isso,1,Second,horrível trava todo tempo lento consegui fazer nada coloca compra carrinho hora vai opção parcelamento dá nada consegui faz tanta propaganda arruma aplicativo aplicativo presta baixei removi
17127,com.shopee.br,App mto bom ....,5,Second,app mto bom ....
17128,com.shopee.br,Acha o pin não pres propaganda de shopping d todos pior aplicativo de todos,1,Second,acha pin pre propaganda shop d todo pior aplicativo todo
17129,com.shopee.br,Boa,5,Second,boa
17130,com.shopee.br,"App ótimo , gosto muito de comprar na shoppe",5,Second,"app ótimo , gosto comprar shopp"
17131,com.shopee.br,Ótimo,5,Second,ótimo
17132,com.shopee.br,Só algumas entregas e que são bem demoradas,5,Second,só alguma entrega bem demorada
17133,com.shopee.br,"Estou tentando abrir o app e diz que tem que atualizar! Atualizei e nada mudou, continua sem abrir !!!!",3,Second,"estou tentando abrir app diz atualizar! atualizei nada mudou, continua abrir !!!!"
17134,com.shopee.br,"Estou adorando esse app, por enquanto não me decepcionei.",5,Second,"estou adorando app, enquanto decepcionei."
17135,com.shopee.br,Melhor app de compras online.,5,Second,melhor app compra online.
17136,com.shopee.br,"App excelente, ótimos preços, entrega direitinho, produtos bons e vendedores comprometidos em enviar os produtos com qualidade",5,Second,"app excelente, ótimo preços, entrega direitinho, produto bon vendedor comprometido enviar produto qualidad"
