Date,Aplicativo_Rank,Advertiser App Name,Advertiser App Package Name,Ad Platforms,Apps Seen In,Creatives,Paid Downloads,investimento_cpi,est_numero_anuncios
Aug 22,33,"Loja C&A: Roupas, Sapatos e +",br.com.cea.appb2c,4,106,6564,269321,603279.04,695784
Sep 22,33,"Loja C&A: Roupas, Sapatos e +",br.com.cea.appb2c,6,17,4718,269321,603279.04,80206
Jul 22,32,Apcap da Sorte,br.com.apcapsp.app,2,2,59,259796,581943.04,118
Aug 22,32,Apcap da Sorte,br.com.apcapsp.app,3,16,77,259796,581943.04,1232
Sep 22,32,Apcap da Sorte,br.com.apcapsp.app,3,73,166,259796,581943.04,12118
Jul 22,35,Marisa: Moda e Comprar Roupas,br.com.marisa.android,4,2,5849,256559,574692.16,11698
Aug 22,35,Marisa: Moda e Comprar Roupas,br.com.marisa.android,4,2,6319,256559,574692.16,12638
Sep 22,35,Marisa: Moda e Comprar Roupas,br.com.marisa.android,4,2,5744,256559,574692.16,11488
Jul 22,34,Decathlon: Loja de Esportes,br.com.decathlon,3,12,518,245555,550043.2,6216
Aug 22,34,Decathlon: Loja de Esportes,br.com.decathlon,2,3,1886,245555,550043.2,5658
Sep 22,34,Decathlon: Loja de Esportes,br.com.decathlon,2,2,2444,245555,550043.2,4888
Jul 22,31,Extra: Loja Online e Ofertas,com.novapontocom.extra,5,5,4546,242617,543462.08,22730
Aug 22,31,Extra: Loja Online e Ofertas,com.novapontocom.extra,5,5,6541,242617,543462.08,32705
Sep 22,31,Extra: Loja Online e Ofertas,com.novapontocom.extra,5,3,8897,242617,543462.08,26691
Jul 22,37,Petz: Pet shop Online,br.com.petz,7,140,697,240942,539710.08,97580
Aug 22,37,Petz: Pet shop Online,br.com.petz,9,174,1051,240942,539710.08,182874
Sep 22,37,Petz: Pet shop Online,br.com.petz,7,145,846,240942,539710.08,122670
Jul 22,25,Beleza na Web: Cosméticos,br.com.belezanaweb.android,6,13,2211,232871,521631.04,28743
Aug 22,25,Beleza na Web: Cosméticos,br.com.belezanaweb.android,5,39,2477,232871,521631.04,96603
Sep 22,25,Beleza na Web: Cosméticos,br.com.belezanaweb.android,5,15,1210,232871,521631.04,18150
Jul 22,40,Urbanic - Fashion from London,com.urbanic.multis,4,42,22,206475,462504,924
Aug 22,40,Urbanic - Fashion from London,com.urbanic.multis,3,10,907,206475,462504,9070
Sep 22,40,Urbanic - Fashion from London,com.urbanic.multis,4,234,357,206475,462504,83538
Jul 22,46,adidas,com.adidas.app,5,3,15,170346,381575.04,45
Aug 22,46,adidas,com.adidas.app,5,4,39,170346,381575.04,156
Sep 22,46,adidas,com.adidas.app,5,3,27,170346,381575.04,81
Jul 22,50,Pão de Açúcar Mais,br.com.paodeacucarmais,2,2,15,164515,368513.6,30
Aug 22,50,Pão de Açúcar Mais,br.com.paodeacucarmais,4,2,127,164515,368513.6,254
Sep 22,50,Pão de Açúcar Mais,br.com.paodeacucarmais,4,22,75,164515,368513.6,1650
Jul 22,41,Livelo: juntar e trocar pontos,br.com.livelo.app,4,2,21,162496,363991.04,42
Aug 22,41,Livelo: juntar e trocar pontos,br.com.livelo.app,5,4,18,162496,363991.04,72
Sep 22,41,Livelo: juntar e trocar pontos,br.com.livelo.app,5,13,21,162496,363991.04,273
