data-ai Intelligence
Report,IQ Classifications- Top Apps
Report Generation Time,01/06/2023 07:43:48 PST
Country/Region,Brazil
Date,"2022-07-01, 2022-09-30"
Device,Android Phone
Classification,"BNPL, Coupons & Rewards, E-Commerce (B2C), E-Commerce (C2C), E-Commerce (Retailer), Other Shopping, Pharmacy & Drugstore, Resell"
Granularity,Monthly
Vertical,App
Include secondary IQ classifications,False

Rank,App,App Name,App Bundle ID,App Package Name,Market,Market Name,Device,Device Name,Developer Account,Developer Account Name,Company,Company Name,Company HQ,Company HQ Name,Parent Company,Parent Company Name,App Category,App Category Name,Unified App,Unified App Name,Vertical,Vertical Name,Genre > Classification,Genre > Classification Name,Subgenre > Classification,Subgenre > Classification Name,Classification Type,Classification Type Name,Content > Tag,Content > Tag Name,FTUE > Tag,FTUE > Tag Name,Feature - Finance > Tag,Feature - Finance > Tag Name,Feature - Food & Drink > Tag,Feature - Food & Drink > Tag Name,Feature - General > Tag,Feature - General > Tag Name,Feature - Health & Fitness > Tag,Feature - Health & Fitness > Tag Name,Feature - Login > Tag,Feature - Login > Tag Name,Feature - Reporting > Tag,Feature - Reporting > Tag Name,Feature - Shopping > Tag,Feature - Shopping > Tag Name,Feature - Social > Tag,Feature - Social > Tag Name,Feature - Social Media > Tag,Feature - Social Media > Tag Name,Feature - Support > Tag,Feature - Support > Tag Name,Monetization - Advertising > Tag,Monetization - Advertising > Tag Name,Monetization - Membership > Tag,Monetization - Membership > Tag Name,Monetization - Value-added Service > Tag,Monetization - Value-added Service > Tag Name,Tag Type,Tag Type Name,Downloads,Downloads (Change Value),Cumulative Downloads,Cumulative Downloads (Change Value),Revenue,Revenue (Change Value),Cumulative Revenue,Cumulative Revenue (Change Value),RPD,RPD (Change Value),Paid Downloads,Paid Downloads (Change Value),Organic Downloads,Organic Downloads (Change Value),% Paid Downloads,% Paid Downloads (Change Value),% Organic Downloads,% Organic Downloads (Change Value),Usage Penetration,Usage Penetration (Change Value),Active Users,Active Users (Change Value),Install Penetration,Install Penetration (Change Value),Install Base,Install Base (Change Value),Open Rate,Open Rate (Change Value),Avg Sessions / User,Avg Sessions / User (Change Value),Avg Session Duration,Avg Session Duration (Change Value),Avg Time / User,Avg Time / User (Change Value),Total Time,Total Time (Change Value),Avg Active Days,Avg Active Days (Change Value),% Active Days,% Active Days (Change Value),Share of Category Time,Share of Category Time (Change Value)
145,20600014253593,Mimoo,,dev.mimoo.mobile,google-play,Google Play Store,android-all,All Android Devices,20200003813390,Mimoo Grátis,,,,,,,400053,Shopping,,,app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40441,7061,455503,40441,,,,,,,23338,2649,17103,4412,57.71%,-4.27%,42.29%,4.27%,0.04%,0.00%,41470,-665,0.18%,0.00%,201005,603,20.63%,-0.40%,22.93,9.01,00:01:01,-00:00:29,00:23:32,00:02:27,2928245,263322,3.86,-0.02,12.59%,-0.20%,,
146,20600016194891,Dutra Máquinas,,br.com.dutramaquinas.pwa,google-play,Google Play Store,android-all,All Android Devices,20200004379707,Dutra Máquinas DevTech,,,,,,,400053,Shopping,,,app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40334,14419,68080,40334,,,,,,,11368,4357,28966,10062,28.18%,1.13%,71.82%,-1.13%,,,,,,,,,,,,,,,,,,,,,,,,
147,20600006206349,DHgate-online wholesale stores,,com.dhgate.buyermob,google-play,Google Play Store,android-all,All Android Devices,20200000068127,dhgate.com,1000200000243652,DHgate.com,CN,China,1000200000243652,DHgate.com,400053,Shopping,1000600000626797,DHgate,app,App,3013,Shopping,30130008,Other Shopping,"2, 3","Genre, Subgenre",,,"1080022, 1080020, 1080021, 1080025, 1080026","Search Content, Login, Browse Content, Settings, Check Out",,,,,"6003024, 6003071, 6003017, 6003008, 6003035, 6003026, 6003060, 6003014, 6003056, 6003041, 6003072, 6003023, 6003079, 6003022, 6003031, 6003042","Relative Recommendation, Alerts Setting, Any Recommendation, Favorite, Currency Loading , Onboarding Questions, Challenge/Task/Achievements, Messaging/Inbox, Review, In-App Coupons, In-App Communication, Popular Recommendation, Language Options, Personal Recommendation, Image Search, Tiered Member Rewards Program",6016049,Unit Conversions,"6005002, 6005007, 6005006","External Login, Mandatory Login, Internal Login",,,"6014007, 6014027, 6014019, 6014005, 6014011, 6014004, 6014013, 6014010, 6014012","Exclusive App Deals, Primary Content Type - Multi Category, Frequently Bought Together, P2P Marketplace, One Click Order, Daily/Hourly Deals, Member Rewards, Curated Shopping Content, 3rd Party Payment (Paypal, Amazon, Apple Pay etc.)","6007006, 6007005, 6007007, 6007002","Reward for Inviting Friend, Invite Friend, Share, External Share","6017064, 6017063","Web Version, Multi-Platform Support","6008005, 6008001","FAQs/Knowledge Base, Any Customer Service",,,,,6012001,Build-in Games,"5003001, 5018001, 5005001, 5007001, 5014001, 5003001, 5007001, 5014001, 5005001, 5003001, 5014001, 5003001, 5003001, 5003001, 5003001, 400013, 5014001, 5007001, 5007001, 5008001, 400013, 5014001, 5003001, 5003001, 5014001, 400013, 5005001, 5012001, 5003001, 400013, 5018001, 5003001, 5003001, 5008001, 5014001, 400013, 5003001, 5014001, 5003001, 5017001, 5014001, 5003001, 5003001","Feature - General, Feature - Social Media, Feature - Login, Feature - Social, Feature - Shopping, Feature - General, Feature - Social, Feature - Shopping, Feature - Login, Feature - General, Feature - Shopping, Feature - General, Feature - General, Feature - General, Feature - General, FTUE, Feature - Shopping, Feature - Social, Feature - Social, Feature - Support, FTUE, Feature - Shopping, Feature - General, Feature - General, Feature - Shopping, FTUE, Feature - Login, Monetization - Value-added Service, Feature - General, FTUE, Feature - Social Media, Feature - General, Feature - General, Feature - Support, Feature - Shopping, FTUE, Feature - General, Feature - Shopping, Feature - General, Feature - Health & Fitness, Feature - Shopping, Feature - General, Feature - General",40284,27392,1006135,40284,,,,,,,18589,11214,21695,16178,46.14%,-11.07%,53.86%,11.07%,0.01%,0.00%,5635,-568,0.17%,0.00%,184180,-50,3.06%,-0.31%,5.03,1.78,00:01:47,-00:01:03,00:09:00,-00:00:16,152225,-20369,1.91,-0.01,6.24%,-0.08%,,
148,20600004948589,Pelando: promoções e cupons,,com.tippingcanoe.pelando,google-play,Google Play Store,android-all,All Android Devices,20200001235488,Pepper,1000200000074628,Pepper,NL,Netherlands,1000200000074628,Pepper,400053,Shopping,1000600000730901,Pelando: Promoções e Cupons,app,App,3013,Shopping,30130005,Coupons & Rewards,"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39663,6410,1595668,39663,,,,,,,23470,-1660,16193,8070,59.17%,-16.40%,40.83%,16.40%,0.36%,-0.02%,390751,-21616,1.40%,0.01%,1540408,7737,25.37%,-1.54%,59.23,-5.26,00:00:51,-00:00:02,00:50:28,-00:07:07,59176495,-12098044,10.14,0.04,33.06%,-0.25%,,
149,20600011709980,Zee.Now - Pet Shop Delivery,,br.com.zeenow.zeenow,google-play,Google Play Store,android-all,All Android Devices,20200003107905,Zee.Dog/Zee.Now,1000200000365254,Zee Dog,BR,Brazil,1000200000365254,Zee Dog,400053,Shopping,1000600000725033,Zee.Now,app,App,3013,Shopping,30130001,E-Commerce (B2C),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39305,-3702,539224,39305,,,,,,,23309,-5025,15996,1323,59.30%,-6.58%,40.70%,6.58%,0.04%,-0.01%,46660,-4973,0.29%,0.00%,317478,-857,14.70%,-1.52%,7.35,2.93,00:01:15,-00:00:26,00:09:16,00:01:44,1298025,131912,2.44,0.00,7.97%,-0.07%,,
150,20600003407922,Gelt: Ganar dinero desde casa,,com.mdfactory.gelt,google-play,Google Play Store,android-all,All Android Devices,20200001815770,"Dinero Gelt, S.L.",1000200000100328,Dinero Gelt,ES,Spain,1000200000100328,Dinero Gelt,400053,Shopping,1000600000780022,GELT,app,App,3013,Shopping,30130005,Coupons & Rewards,"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37990,-37495,830400,37990,,,,,,,132,132,37858,-37627,0.35%,0.35%,99.65%,-0.35%,0.04%,0.00%,41720,-3744,0.30%,0.00%,328403,-3934,12.70%,-0.98%,8.29,0.79,00:01:35,00:00:04,00:13:13,00:01:53,1655871,108580,3.04,0.00,9.91%,-0.10%,,
151,20600013282684,Carajás,,carajas.carajas,google-play,Google Play Store,android-all,All Android Devices,20200003166004,Carajas Home Center,,,,,,,400053,Shopping,,,app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37537,2845,317611,37537,,,,,,,19439,5152,18098,-2307,51.79%,10.61%,48.21%,-10.61%,0.01%,0.00%,11503,-568,0.08%,0.00%,91055,72,12.63%,-0.64%,8.40,-0.65,00:02:45,00:00:40,00:23:08,00:04:21,798429,118582,3.12,0.00,10.18%,-0.10%,,
152,20600005940875,FARFETCH — Designer Shopping,,com.farfetch.farfetchshop,google-play,Google Play Store,android-all,All Android Devices,20200001905562,Farfetch UK Limited,1000200000095960,Farfetch,GB,United Kingdom,1000200000095960,Farfetch,400053,Shopping,1000600000618974,Farfetch,app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,"1080020, 1080026, 1080021, 1080025, 1080009, 1080022","Login, Check Out, Browse Content, Settings, Notification Settings, Search Content",,,,,"6003023, 6003056, 6003022, 6003008, 6003017, 6003027, 6003013, 6003031, 6003042, 6003071, 6003024, 6003006","Popular Recommendation, Review, Personal Recommendation, Favorite, Any Recommendation, Editorial Content, Digital Loyalty Cards, Image Search, Tiered Member Rewards Program, Alerts Setting, Relative Recommendation, Data Conserving Settings",6016049,Unit Conversions,"6005002, 6005006","External Login, Internal Login",,,"6014012, 6014021, 6014010, 6014013, 6014020","3rd Party Payment (Paypal, Amazon, Apple Pay etc.), Primary Content Type - Clothing and Accessories, Curated Shopping Content, Member Rewards, Buy Now Pay Later","6007007, 6007006, 6007002, 6007005","Share, Reward for Inviting Friend, External Share, Invite Friend","6017064, 6017063","Web Version, Multi-Platform Support","6008001, 6008003, 6008006, 6008005","Any Customer Service, Email/Help Desk, Phone Support, FAQs/Knowledge Base",,,,,,,"5007001, 5003001, 5003001, 400013, 5007001, 5005001, 5018001, 5017001, 5014001, 5014001, 5003001, 5008001, 400013, 5014001, 5014001, 5003001, 5003001, 5008001, 5003001, 5018001, 5008001, 5005001, 400013, 5008001, 400013, 400013, 5003001, 5007001, 5003001, 5014001, 5003001, 5003001, 5007001, 5003001, 5003001, 400013","Feature - Social, Feature - General, Feature - General, FTUE, Feature - Social, Feature - Login, Feature - Social Media, Feature - Health & Fitness, Feature - Shopping, Feature - Shopping, Feature - General, Feature - Support, FTUE, Feature - Shopping, Feature - Shopping, Feature - General, Feature - General, Feature - Support, Feature - General, Feature - Social Media, Feature - Support, Feature - Login, FTUE, Feature - Support, FTUE, FTUE, Feature - General, Feature - Social, Feature - General, Feature - Shopping, Feature - General, Feature - General, Feature - Social, Feature - General, Feature - General, FTUE",37136,368,534196,37136,,,,,,,21861,-1897,15275,2265,58.87%,-5.75%,41.13%,5.75%,0.01%,0.00%,7112,-1412,0.10%,0.00%,104842,-28,6.78%,-1.35%,4.28,1.05,00:01:33,-00:01:15,00:06:38,-00:02:26,141671,-90410,1.92,0.03,6.26%,0.02%,,
153,20600015561159,Aramis Loja de Roupa Masculina,,com.mobfiq.aramis,google-play,Google Play Store,android-all,All Android Devices,20200004189074,Aramis,,,,,,,400053,Shopping,,,app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36763,6102,106151,36763,,,,,,,15682,4494,21081,1608,42.66%,6.17%,57.34%,-6.17%,0.01%,0.00%,9813,1916,0.05%,0.00%,54063,418,18.15%,3.43%,3.86,0.32,00:02:04,00:00:21,00:08:02,00:01:56,236638,92059,1.42,0.01,4.62%,-0.03%,,
154,20600010335439,FutFanatics,,com.futfanatics,google-play,Google Play Store,android-all,All Android Devices,20200002789864,FutFanatics,1000200000365331,FutFanatics,BR,Brazil,1000200000365331,FutFanatics,400053,Shopping,1000600000733915,FutFanatics,app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36618,11199,678089,36618,,,,,,,20659,3919,15959,7280,56.42%,-9.44%,43.58%,9.44%,0.03%,-0.01%,38114,-2814,0.22%,0.00%,242029,-715,15.75%,-1.11%,6.54,-1.02,00:01:47,00:00:52,00:11:44,00:04:45,1341689,484859,2.51,0.00,8.18%,-0.09%,,
155,20600000033279,Grocery Shopping List Listonic,,com.l,google-play,Google Play Store,android-all,All Android Devices,20200002306756,Listonic - Smart Grocery Shopping,1000200000203314,Listonic,PL,Poland,1000200000203314,Listonic,400053,Shopping,1000600000621209,Grocery Shopping List,app,App,3013,Shopping,30130005,Coupons & Rewards,"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35277,18138,854507,35277,569,197,6351,569,0.01,0.00,7236,884,28041,17254,20.51%,-16.55%,79.49%,16.55%,0.06%,-0.02%,70193,-15124,0.39%,0.00%,432904,-1191,16.21%,-3.44%,20.44,0.97,00:01:35,00:00:08,00:32:23,00:04:22,6819496,-350540,4.27,-0.02,13.93%,-0.22%,,
156,20600011196678,soccer jersey screen printing ,,com.desinsablonjerseysepakbola.alularestu,google-play,Google Play Store,android-all,All Android Devices,20200002905288,Alularestu,,,,,,,400027,Art & Design,,,app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34051,12491,124952,34051,,,,,,,0,0,34051,12491,0.00%,0.00%,100.00%,0.00%,0.02%,0.00%,27115,9550,0.02%,0.00%,27339,9404,99.18%,1.24%,2.81,0.14,00:00:16,-00:00:05,00:00:45,-00:00:11,61088,11270,1.44,0.00,4.70%,-0.05%,,
157,20600013769779,Funcional Card,,br.com.funcional.beneficiario,google-play,Google Play Store,android-all,All Android Devices,20200002960266,Funcional Health Tech,,,,,,,400046,Medical,,,app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33698,6488,189779,33698,,,,,,,0,0,33698,6488,0.00%,0.00%,100.00%,0.00%,0.02%,0.00%,25672,5199,0.15%,0.00%,170222,763,15.08%,3.00%,9.45,-1.57,00:00:30,-00:00:05,00:04:50,-00:01:43,372446,-30504,2.69,0.00,8.77%,-0.11%,,
158,20600014920610,Vendah | Renda extra online,,br.com.vendah.app,google-play,Google Play Store,android-all,All Android Devices,20200004005385,Vendah,,,,,,,400031,Business,,,app,App,3013,Shopping,30130004,Resell,"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33478,-1608,89229,33478,,,,,,,18620,1182,14858,-2790,55.62%,5.92%,44.38%,-5.92%,0.01%,0.00%,13155,5687,0.02%,0.00%,21520,-117,61.13%,26.62%,1.00,0.00,00:00:52,00:00:00,00:00:52,00:00:00,34798,15095,0.96,0.00,3.12%,-0.05%,,
159,20600016826629,Rosa Azul Kids Roupa Infantil,,com.magazord.site.rosaazul,google-play,Google Play Store,android-all,All Android Devices,20200004382821,Magazord,,,,,,,400053,Shopping,,,app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32839,32839,32839,32839,,,,,,,0,,32839,32839,0.00%,,100.00%,100.00%,,,,,,,,,,,,,,,,,,,,,,,,
160,20600015830109,Babadotop: Moda e Beleza,,com.mobfiq.babadotop,google-play,Google Play Store,android-all,All Android Devices,20200004275618,Babadotop,,,,,,,400053,Shopping,,,app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32826,-10148,234605,32826,,,,,,,0,-15385,32826,5237,0.00%,-35.80%,100.00%,35.80%,0.00%,-0.01%,4587,-1794,0.05%,0.00%,60181,329,7.62%,-3.04%,21.89,-2.00,00:03:47,00:01:23,01:22:52,00:25:40,1140470,45561,4.92,0.03,16.04%,-0.10%,,
161,20600016072426,PipasPipiu,,com.viniciuspamplonazero.pipaspipiu,google-play,Google Play Store,android-all,All Android Devices,20200004345782,Marcos Vinicius De Oliveira Pamplona,,,,,,,400053,Shopping,,,app,App,3013,Shopping,30130001,E-Commerce (B2C),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32431,20267,45337,32431,,,,,,,17893,13542,14538,6725,55.17%,19.40%,44.83%,-19.40%,,,,,,,,,,,,,,,,,,,,,,,,
162,20600011974178,Lojas Lebes,,br.com.lebes.app,google-play,Google Play Store,android-all,All Android Devices,20200001988717,Lebes,,,,,,,400053,Shopping,,,app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32142,-5583,458864,32142,,,,,,,18300,-4999,13842,-584,56.93%,-4.83%,43.07%,4.83%,0.02%,0.00%,23046,-3251,0.08%,0.00%,83162,-584,27.71%,-3.69%,7.16,0.86,00:00:50,00:00:09,00:05:59,00:01:45,414201,79764,2.43,0.00,7.93%,-0.08%,,
163,20600015346138,Dinerama: Cashback no Mercado,,br.com.dinerama,google-play,Google Play Store,android-all,All Android Devices,20200004038264,Dinerama,,,,,,,400053,Shopping,,,app,App,3013,Shopping,30130005,Coupons & Rewards,"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31580,29246,36325,31580,,,,,,,21535,20656,10045,8590,68.19%,30.53%,31.81%,-30.53%,0.08%,0.06%,83198,64304,0.08%,0.06%,84782,62667,98.13%,12.70%,7.57,-0.41,00:00:46,00:00:23,00:05:54,00:02:48,1476089,1300245,4.15,-0.01,13.54%,-0.19%,,
164,20600013166206,"Buscar Rural - Comprar, vender",,br.com.buscar.rural,google-play,Google Play Store,android-all,All Android Devices,20200003491466,Buscar Rural,,,,,,,400053,Shopping,,,app,App,3013,Shopping,30130004,Resell,"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31310,-21825,1213381,31310,,,,,,,18009,-15567,13301,-6258,57.52%,-5.67%,42.48%,5.67%,0.01%,0.00%,7270,-1484,0.07%,0.00%,78823,-225,9.22%,-1.85%,2.74,-0.93,00:02:29,00:01:02,00:06:51,00:01:29,149452,8548,1.76,0.00,5.74%,-0.07%,,
165,20600013332748,Martinello,,com.martinello.martinello,google-play,Google Play Store,android-all,All Android Devices,20200004677604,Labs Martinello,,,,,,,400053,Shopping,,,app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30968,-450,287490,30968,,,,,,,18000,73,12968,-523,58.12%,1.06%,41.88%,-1.06%,0.01%,0.00%,10885,-585,0.03%,0.00%,34940,110,31.15%,-1.78%,10.42,-1.02,00:01:03,00:00:25,00:11:02,00:03:44,360422,109537,2.92,0.00,9.53%,-0.08%,,
166,20600016596816,Isabela Flores,,com.isabelaflores,google-play,Google Play Store,android-all,All Android Devices,20200004494580,"Baluarte Technologies, Inc.",,,,,,,400053,Shopping,,,app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30814,27259,34369,30814,,,,,,,13068,12373,17746,14886,42.41%,22.86%,57.59%,-22.86%,,,,,,,,,,,,,,,,,,,,,,,,
167,20600013277227,Max Atacadista,,br.com.maxatacadista,google-play,Google Play Store,android-all,All Android Devices,20200001621781,Irmãos Muffato Cia Ltda.,,,,,,,400053,Shopping,,,app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30605,12117,332949,30605,,,,,,,17524,9444,13081,2673,57.26%,13.56%,42.74%,-13.56%,,,,,,,,,,,,,,,,,,,,,,,,
168,20600014639330,PoshCash,,com.voldemort,google-play,Google Play Store,android-all,All Android Devices,20200002728279,RGM SOLUTIONS,,,,,,,400038,Finance,,,app,App,3013,Shopping,30130005,Coupons & Rewards,"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29753,7484,57000,29753,,,,,,,17915,9602,11838,-2118,60.21%,22.88%,39.79%,-22.88%,,,,,,,,,,,,,,,,,,,,,,,,
169,20600008387702,Mateus App,,com.ithappens.maismateus,google-play,Google Play Store,android-all,All Android Devices,20200002019861,Grupo Mateus S/A,1000200000142359,Mateus,IT,Italy,1000200000142359,Mateus,400053,Shopping,,,app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29334,12023,1625366,29334,,,,,,,17004,6174,12330,5849,57.97%,-4.59%,42.03%,4.59%,0.02%,0.00%,19958,-1369,0.12%,0.00%,133491,458,14.95%,-1.08%,8.35,4.22,00:00:32,-00:01:04,00:04:34,-00:02:05,274057,-152519,1.92,0.00,6.25%,-0.08%,,
170,20600016143856,Avon Compras Online,,com.avoncomprasonline,google-play,Google Play Store,android-all,All Android Devices,20200004366765,Smart Club Shop,,,,,,,400053,Shopping,,,app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28784,-5951,84712,28784,,,,,,,3136,-9702,25648,3751,10.89%,-26.07%,89.11%,26.07%,0.00%,0.00%,5230,250,0.01%,0.00%,12632,10,41.40%,1.94%,7.08,0.17,00:01:53,-00:00:01,00:13:24,00:00:11,210481,12888,2.88,0.01,9.38%,-0.09%,,
171,20600012945645,Megamania Cap,,com.ideamaker.megamania,google-play,Google Play Store,android-all,All Android Devices,20200003221858,Idea Maker,1000300000024551,Idea Maker,BR,Brazil,1000300000024551,Idea Maker,400036,Entertainment,,,app,App,3013,Shopping,30130001,E-Commerce (B2C),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28558,-18263,331662,28558,,,,,,,16836,-14168,11722,-4095,58.95%,-7.27%,41.05%,7.27%,0.04%,0.00%,45184,1826,0.16%,0.00%,171803,340,26.30%,1.01%,10.35,0.29,00:00:57,-00:00:15,00:09:54,-00:02:19,1342876,-247794,4.10,0.03,13.37%,-0.06%,,
172,20600005332990,DeMillus,,br.com.demillus.www.portalrevendedora,google-play,Google Play Store,android-all,All Android Devices,20200001754897,Pix Software,,,,,,,400053,Shopping,,,app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27787,3520,749347,27787,,,,,,,15708,-2003,12079,5523,56.53%,-16.45%,43.47%,16.45%,0.04%,-0.01%,46672,-3237,0.09%,0.00%,102053,1934,45.73%,-4.12%,10.72,-2.52,00:02:29,00:01:07,00:26:44,00:08:39,3744967,1037479,3.77,0.00,12.31%,-0.11%,,
173,20600011761279,Lojas Quero-Quero,,br.com.queroquero.ecommerce,google-play,Google Play Store,android-all,All Android Devices,20200003119147,Mobile Commerce Quero-Quero,1000200000482792,Verde Administradora de Cartões de Crédito SA,BR,Brazil,1000200000482792,Verde Administradora de Cartões de Crédito SA,400053,Shopping,1000600000805624,Lojas Quero-Quero,app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27717,2842,408723,27717,,,,,,,16445,4285,11272,-1443,59.33%,10.45%,40.67%,-10.45%,0.01%,0.00%,10841,-674,0.04%,0.00%,44156,34,24.55%,-1.55%,2.74,0.22,00:01:09,-00:00:14,00:03:12,-00:00:20,104114,-18079,1.48,-0.01,4.83%,-0.07%,,
174,20600014298714,Kalunga,,com.kalunga.app,google-play,Google Play Store,android-all,All Android Devices,20200000727614,Kalunga.com,,,,,,,400053,Shopping,,,app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26628,-628,276349,26628,,,,,,,0,0,26628,-628,0.00%,0.00%,100.00%,0.00%,0.02%,-0.01%,25806,-4048,0.25%,0.00%,273627,238,9.43%,-1.49%,6.28,-1.07,00:02:33,00:01:26,00:16:06,00:07:54,1247077,512741,2.19,0.00,7.13%,-0.09%,,
175,20600004961147,Bônuscred para Clientes,,br.com.bonuscred,google-play,Google Play Store,android-all,All Android Devices,20200002483606,Bonuscred,,,,,,,400031,Business,,,app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26301,-1828,274375,26301,,,,,,,15231,-2555,11070,727,57.91%,-5.32%,42.09%,5.32%,0.01%,0.00%,14714,2159,0.04%,0.01%,40039,2543,36.75%,3.27%,11.38,1.75,00:00:23,-00:00:24,00:04:23,-00:03:18,193837,-96338,4.23,0.00,13.81%,-0.15%,,
176,20600009768514,Feito,,com.app.feito,google-play,Google Play Store,android-all,All Android Devices,20200003487935,BFS Feito Participacoes LTDA,,,,,,,400053,Shopping,,,app,App,3013,Shopping,30130005,Coupons & Rewards,"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26085,7102,136229,26085,,,,,,,15588,3070,10497,4032,59.76%,-6.18%,40.24%,6.18%,0.01%,0.00%,16073,3902,0.08%,0.01%,85037,3238,18.90%,4.02%,3.11,-2.22,00:01:00,00:00:14,00:03:06,-00:00:57,150104,1636,1.76,0.01,5.73%,-0.04%,,
177,20600016896365,Nossa Avon,,com.naturaeco.gxp.avon,google-play,Google Play Store,android-all,All Android Devices,20200003562247,Natura &Co,,,,,,,400031,Business,,,app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25834,25834,25834,25834,,,,,,,14236,14236,11598,11598,55.11%,55.11%,44.89%,44.89%,,,,,,,,,,,,,,,,,,,,,,,,
178,20600007476773,AiHelper: Sales and Parcels,,com.xyz.alihelper,google-play,Google Play Store,android-all,All Android Devices,20200002242857,AliHelper,,,,,,,400053,Shopping,,,app,App,3013,Shopping,30130002,E-Commerce (C2C),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25768,-4907,347699,25768,,,,,,,13637,-3686,12131,-1221,52.92%,-3.55%,47.08%,3.55%,0.03%,-0.01%,35466,-8587,0.29%,0.00%,322979,-993,10.98%,-2.62%,7.78,1.14,00:00:34,-00:00:06,00:04:26,-00:00:06,472529,-129545,2.30,0.00,7.49%,-0.10%,,
