data-ai Intelligence
Report,Single table report
Report Generation Time,01/06/2023 07:50:29 PST
Ad Platform,All Supported
Country/Region,Brazil
Device,Android Phone
Date,"2021-09-01, 2021-09-30"
Granularity,Monthly

Advertiser App,Advertiser App Name,Advertiser App Bundle ID,Advertiser App Icon Url,Advertiser App Status,Advertiser App Package Name,Market,Market Name,Device,Device Name,Developer Account,Developer Account Name,Company,Company Name,Company HQ,Company HQ Name,Parent Company,Parent Company Name,App Category,App Category Name,Unified App,Unified App Name,Vertical,Vertical Name,# Ad Platforms,# Ad Platforms (Change Value),# Apps Seen In,# Apps Seen In (Change Value),Creatives,Creatives (Change Value)
20600010273975,Época Cosméticos e Maquiagens,,https://static-s.aa-cdn.net/img/gp/20600010273975/XPLnefFiJW2dErGGCTkWOrJCvIej9Jp7zECBpaQimAobvThseQAZ85XJ7fzWjUjFcVno=s300_w80,1,com.mobfiq.epocacosmeticos,google-play,Google Play Store,android-all,All Android Devices,20200003165425,"Época Cosméticos, Beleza, Perfumes e Maquiagens",1000200000365641,Época Cosméticos,BR,Brazil,1000200000365641,Época Cosméticos,400053,Shopping,1000600000733877,Época Cosméticos,app,App,6,0,39,14,1622,825
20600001452753,Extra: Loja Online e Ofertas,,https://static-s.aa-cdn.net/img/gp/20600001452753/IDiD6e8nza35kwUhZKMdUX0BHO4WR8w25UeWgVHGT5nHsHkWSA0rnLNIqaJLI8UJu3s_w80,1,com.novapontocom.extra,google-play,Google Play Store,android-all,All Android Devices,20200002483031,Via Varejo S.A.,1000200000401995,Via Varejo,BR,Brazil,1000200000401995,Via Varejo,400053,Shopping,1000600000513005,Extra.com.br,app,App,5,0,3,-2,8897,2356
20600003060897,Shoptime: Compras online,,https://static-s.aa-cdn.net/img/gp/20600003060897/kyvCMZPMOas0Knt9sN72gU8_N75xHWRjWhbV98JN7_VehEUt-BctruVtdz71xfKvxGY_w80,1,com.b2w.shoptime,google-play,Google Play Store,android-all,All Android Devices,20200004181434,americanas s.a.,,,,,,,400053,Shopping,1000600000648635,Shoptime,app,App,5,2,20,-190,4640,-2136
20600003674082,"Zoom: Compare preços, Cashback",,https://static-s.aa-cdn.net/img/gp/20600003674082/1-enDrEfYE57EkrbrLO8oQNUhsQE1XOO8yBzzz4GyHfFNZALhASE5HorKtpMmZYQ-OOf_w80,1,com.zoom.zoomandroid,google-play,Google Play Store,android-all,All Android Devices,20200001129144,Mosaico Negócios de Internet S.A,1000200000229760,Zoom.com.br,BR,Brazil,1000200000229760,Zoom.com.br,400053,Shopping,1000600000618583,Zoom - Ofertas e Descontos,app,App,5,0,105,28,9805,7213
20600003997070,Petlove - O app do seu pet,,https://static-s.aa-cdn.net/img/gp/20600003997070/Yslj3aGRWgAi4HtDgYQNfGrpQbSYmSQiEyhgUK8UEHBdqB8HP68LpAXz9LDhJsgoeTVi_w80,1,br.com.petlove.petlove,google-play,Google Play Store,android-all,All Android Devices,20200003838460,Petlove IT,1000300000023855,DogHero,BR,Brazil,1000300000023855,DogHero,400053,Shopping,1000600000695981,Petlove,app,App,5,-1,12,-6,5068,533
20600004297797,O Boticário,,https://static-s.aa-cdn.net/img/gp/20600004297797/q0oShW8YGl1VlV3fcckILcEb6kixFOmd5TDzvoofVYt5mDCALXq4iFt0-z9Q0KcGw9c=s300_w80,1,com.boticario.mobile,google-play,Google Play Store,android-all,All Android Devices,20200001504614,Grupo Boticário,1000200000365075,Grupo Boticário,BR,Brazil,1000200000365075,Grupo Boticário,400053,Shopping,1000600000732425,O Boticário,app,App,5,2,4,1,1516,361
20600004629076,Centauro: loja de esportes,,https://static-s.aa-cdn.net/img/gp/20600004629076/-f1s3_CoYTk1x9a3xw0z7TXjNNXZfc2fhn2eMhUaTt7XnH4vUT4_-RNj00ZHS74WxA_w80,1,br.com.sbf.centauro,google-play,Google Play Store,android-all,All Android Devices,20200001668056,Centauro Esportes - Grupo SBF S/A,1000200000310426,Grupo SBF,BR,Brazil,1000200000310426,Grupo SBF,400053,Shopping,1000600000667242,Centauro,app,App,5,1,3,1,2852,-452
20600005048458,Natura: perfumes e cosméticos,,https://static-s.aa-cdn.net/img/gp/20600005048458/Zu6l3Vnp-0M1nWXHaT0yMT4ZfdFHP1tBI3olb2r5Qh7NY7FHLBZf7AuCaMvuR4MjvWTt_w80,1,net.natura.semprepresente,google-play,Google Play Store,android-all,All Android Devices,20200003562247,Natura &Co,,,,,,,400053,Shopping,1000600000730879,Natura: Produtos de beleza,app,App,5,0,3,0,2394,-746
20600006180889,Livelo: juntar e trocar pontos,,https://static-s.aa-cdn.net/img/gp/20600006180889/ovNjgkE0n264lV7PEmjvfg1IbN9oyQOIQBFyd1GeL5PXTN5Ewriyh8i8LRufeYJJLw_w80,1,br.com.livelo.app,google-play,Google Play Store,android-all,All Android Devices,20200001689924,Pontos Livelo,1000200000309937,Livelo,BR,Brazil,1000200000309937,Livelo,400057,Travel & Local,1000600000666453,Livelo,app,App,5,0,13,9,21,3
20600006372762,Floryday - Shopping & Fashion,,https://static-s.aa-cdn.net/img/gp/20600006372762/eZn9xvQBVMH-WMJwUaAwlYq1bVDq1uTJOddGnxzp7T0u_MeWnx8tJ5vvrIgg31_J2iZM_w80,1,com.floryday.fd,google-play,Google Play Store,android-all,All Android Devices,20200003004937,ZC HOLDING (HK) LIMITED,1000200000176797,ZC HOLDING,HK,Hong Kong,1000200000176797,ZC HOLDING,400053,Shopping,1000600000680557,Floryday,app,App,5,0,41,15,81,27
